sentence,label,label_value,pred_label,max_pred_prob,all_prob,status,pred_new_label
You guys provide EMI option?,EMI,0,EMI,0.9286853671073914,"{'EMI': 0.92868537, 'COD': 0.0030506647, 'ORTHO_FEATURES': 0.005269402, 'ERGO_FEATURES': 0.0020625922, 'COMPARISON': 0.0027072716, 'WARRANTY': 0.004767962, '100_NIGHT_TRIAL_OFFER': 0.0033689456, 'SIZE_CUSTOMIZATION': 0.002016703, 'WHAT_SIZE_TO_ORDER': 0.0022528034, 'LEAD_GEN': 0.0025616782, 'CHECK_PINCODE': 0.0015402476, 'DISTRIBUTORS': 0.0041545816, 'MATTRESS_COST': 0.0059990715, 'PRODUCT_VARIANTS': 0.003528691, 'ABOUT_SOF_MATTRESS': 0.004938322, 'DELAY_IN_DELIVERY': 0.0025833903, 'ORDER_STATUS': 0.0078113433, 'RETURN_EXCHANGE': 0.0060335025, 'CANCEL_ORDER': 0.0026799473, 'PILLOWS': 0.0018060228, 'OFFERS': 0.0021815095}",True,EMI
Do you offer Zero Percent EMI payment options?,EMI,0,EMI,0.9306731820106506,"{'EMI': 0.9306732, 'COD': 0.0028448207, 'ORTHO_FEATURES': 0.005391195, 'ERGO_FEATURES': 0.001974907, 'COMPARISON': 0.0027022972, 'WARRANTY': 0.004584229, '100_NIGHT_TRIAL_OFFER': 0.0032635105, 'SIZE_CUSTOMIZATION': 0.0019035933, 'WHAT_SIZE_TO_ORDER': 0.002160457, 'LEAD_GEN': 0.002420347, 'CHECK_PINCODE': 0.0014661328, 'DISTRIBUTORS': 0.0037857923, 'MATTRESS_COST': 0.006307843, 'PRODUCT_VARIANTS': 0.0033316498, 'ABOUT_SOF_MATTRESS': 0.0044725207, 'DELAY_IN_DELIVERY': 0.002442724, 'ORDER_STATUS': 0.008114101, 'RETURN_EXCHANGE': 0.0058880853, 'CANCEL_ORDER': 0.0025484604, 'PILLOWS': 0.0016399776, 'OFFERS': 0.002084094}",True,EMI
0% EMI.,EMI,0,EMI,0.9305174350738525,"{'EMI': 0.93051744, 'COD': 0.0024000956, 'ORTHO_FEATURES': 0.005326894, 'ERGO_FEATURES': 0.0020473795, 'COMPARISON': 0.0028266718, 'WARRANTY': 0.0047930484, '100_NIGHT_TRIAL_OFFER': 0.0029988952, 'SIZE_CUSTOMIZATION': 0.0017623745, 'WHAT_SIZE_TO_ORDER': 0.0022215776, 'LEAD_GEN': 0.0024933838, 'CHECK_PINCODE': 0.0012796335, 'DISTRIBUTORS': 0.004190712, 'MATTRESS_COST': 0.0065166866, 'PRODUCT_VARIANTS': 0.0032928083, 'ABOUT_SOF_MATTRESS': 0.004995473, 'DELAY_IN_DELIVERY': 0.0025497489, 'ORDER_STATUS': 0.0079211015, 'RETURN_EXCHANGE': 0.005766193, 'CANCEL_ORDER': 0.0025399174, 'PILLOWS': 0.0016876115, 'OFFERS': 0.0018722845}",True,EMI
EMI,EMI,0,EMI,0.9298587441444397,"{'EMI': 0.92985874, 'COD': 0.002499761, 'ORTHO_FEATURES': 0.0051633525, 'ERGO_FEATURES': 0.0020504901, 'COMPARISON': 0.0027398048, 'WARRANTY': 0.004554972, '100_NIGHT_TRIAL_OFFER': 0.0030934412, 'SIZE_CUSTOMIZATION': 0.0018586712, 'WHAT_SIZE_TO_ORDER': 0.0023593346, 'LEAD_GEN': 0.0025990119, 'CHECK_PINCODE': 0.001321278, 'DISTRIBUTORS': 0.0046204343, 'MATTRESS_COST': 0.0063786595, 'PRODUCT_VARIANTS': 0.0033568772, 'ABOUT_SOF_MATTRESS': 0.005027809, 'DELAY_IN_DELIVERY': 0.0025117416, 'ORDER_STATUS': 0.007548589, 'RETURN_EXCHANGE': 0.006080439, 'CANCEL_ORDER': 0.0025194655, 'PILLOWS': 0.0017938517, 'OFFERS': 0.002063373}",True,EMI
I want in installment,EMI,0,EMI,0.9167591333389282,"{'EMI': 0.91675913, 'COD': 0.0029847615, 'ORTHO_FEATURES': 0.008773137, 'ERGO_FEATURES': 0.002436255, 'COMPARISON': 0.003033756, 'WARRANTY': 0.0052126055, '100_NIGHT_TRIAL_OFFER': 0.003721668, 'SIZE_CUSTOMIZATION': 0.0021185172, 'WHAT_SIZE_TO_ORDER': 0.002461576, 'LEAD_GEN': 0.002821717, 'CHECK_PINCODE': 0.0015150036, 'DISTRIBUTORS': 0.0039272993, 'MATTRESS_COST': 0.0068485867, 'PRODUCT_VARIANTS': 0.0036827074, 'ABOUT_SOF_MATTRESS': 0.0050334334, 'DELAY_IN_DELIVERY': 0.0032975466, 'ORDER_STATUS': 0.009157643, 'RETURN_EXCHANGE': 0.00898418, 'CANCEL_ORDER': 0.0029246577, 'PILLOWS': 0.0018294598, 'OFFERS': 0.002476527}",True,EMI
I want it on 0% interest,EMI,0,EMI,0.9113827347755432,"{'EMI': 0.91138273, 'COD': 0.002860763, 'ORTHO_FEATURES': 0.010801505, 'ERGO_FEATURES': 0.0026763598, 'COMPARISON': 0.0037091617, 'WARRANTY': 0.005503343, '100_NIGHT_TRIAL_OFFER': 0.003907527, 'SIZE_CUSTOMIZATION': 0.0023845548, 'WHAT_SIZE_TO_ORDER': 0.002621795, 'LEAD_GEN': 0.0032167553, 'CHECK_PINCODE': 0.0016716357, 'DISTRIBUTORS': 0.004707427, 'MATTRESS_COST': 0.0068448125, 'PRODUCT_VARIANTS': 0.004426786, 'ABOUT_SOF_MATTRESS': 0.005562716, 'DELAY_IN_DELIVERY': 0.0037843585, 'ORDER_STATUS': 0.008553251, 'RETURN_EXCHANGE': 0.007999329, 'CANCEL_ORDER': 0.0028276083, 'PILLOWS': 0.0020931547, 'OFFERS': 0.0024643815}",True,EMI
How to get in EMI,EMI,0,EMI,0.9300957322120667,"{'EMI': 0.93009573, 'COD': 0.0027173422, 'ORTHO_FEATURES': 0.0050658714, 'ERGO_FEATURES': 0.0020842962, 'COMPARISON': 0.0027245092, 'WARRANTY': 0.0046434607, '100_NIGHT_TRIAL_OFFER': 0.0033053623, 'SIZE_CUSTOMIZATION': 0.0018223359, 'WHAT_SIZE_TO_ORDER': 0.002247568, 'LEAD_GEN': 0.0027338478, 'CHECK_PINCODE': 0.0014127803, 'DISTRIBUTORS': 0.004071703, 'MATTRESS_COST': 0.005820337, 'PRODUCT_VARIANTS': 0.003210679, 'ABOUT_SOF_MATTRESS': 0.0049115745, 'DELAY_IN_DELIVERY': 0.0025163046, 'ORDER_STATUS': 0.0077038067, 'RETURN_EXCHANGE': 0.006341214, 'CANCEL_ORDER': 0.0028118927, 'PILLOWS': 0.0017841995, 'OFFERS': 0.0019750241}",True,EMI
what about emi options,EMI,0,EMI,0.9304704666137695,"{'EMI': 0.93047047, 'COD': 0.0025840807, 'ORTHO_FEATURES': 0.0051114615, 'ERGO_FEATURES': 0.0020062446, 'COMPARISON': 0.0027271046, 'WARRANTY': 0.004472696, '100_NIGHT_TRIAL_OFFER': 0.003280251, 'SIZE_CUSTOMIZATION': 0.0017886016, 'WHAT_SIZE_TO_ORDER': 0.0022493294, 'LEAD_GEN': 0.0024812827, 'CHECK_PINCODE': 0.0013812145, 'DISTRIBUTORS': 0.004216063, 'MATTRESS_COST': 0.0058017327, 'PRODUCT_VARIANTS': 0.0033652373, 'ABOUT_SOF_MATTRESS': 0.0048752604, 'DELAY_IN_DELIVERY': 0.0023355677, 'ORDER_STATUS': 0.008016652, 'RETURN_EXCHANGE': 0.006211243, 'CANCEL_ORDER': 0.0026363162, 'PILLOWS': 0.0017968045, 'OFFERS': 0.0021923876}",True,EMI
I need emi payment. ,EMI,0,EMI,0.9300268888473511,"{'EMI': 0.9300269, 'COD': 0.0027234633, 'ORTHO_FEATURES': 0.0053295293, 'ERGO_FEATURES': 0.0020943792, 'COMPARISON': 0.0026507229, 'WARRANTY': 0.0046506417, '100_NIGHT_TRIAL_OFFER': 0.0032295077, 'SIZE_CUSTOMIZATION': 0.0019046804, 'WHAT_SIZE_TO_ORDER': 0.0021594807, 'LEAD_GEN': 0.0026741829, 'CHECK_PINCODE': 0.0013668624, 'DISTRIBUTORS': 0.0037694906, 'MATTRESS_COST': 0.0060629263, 'PRODUCT_VARIANTS': 0.0033281695, 'ABOUT_SOF_MATTRESS': 0.0048928834, 'DELAY_IN_DELIVERY': 0.0026399356, 'ORDER_STATUS': 0.0077188895, 'RETURN_EXCHANGE': 0.006428348, 'CANCEL_ORDER': 0.0027079098, 'PILLOWS': 0.0017295891, 'OFFERS': 0.0019114868}",True,EMI
How to EMI,EMI,0,EMI,0.9305848479270935,"{'EMI': 0.93058485, 'COD': 0.0026456905, 'ORTHO_FEATURES': 0.004932241, 'ERGO_FEATURES': 0.0020358693, 'COMPARISON': 0.0026836724, 'WARRANTY': 0.0044616167, '100_NIGHT_TRIAL_OFFER': 0.0033122343, 'SIZE_CUSTOMIZATION': 0.0018251783, 'WHAT_SIZE_TO_ORDER': 0.0022311893, 'LEAD_GEN': 0.0027369752, 'CHECK_PINCODE': 0.0013825736, 'DISTRIBUTORS': 0.0042064297, 'MATTRESS_COST': 0.0058220765, 'PRODUCT_VARIANTS': 0.0031953973, 'ABOUT_SOF_MATTRESS': 0.004819284, 'DELAY_IN_DELIVERY': 0.0025236688, 'ORDER_STATUS': 0.007620133, 'RETURN_EXCHANGE': 0.006438615, 'CANCEL_ORDER': 0.0027478668, 'PILLOWS': 0.0017640997, 'OFFERS': 0.0020303775}",True,EMI
